一万八千	1.153.34.312
在手机上	132.97.1235.21
在手机上	13219.97.1235.21
在手机里	132.97.1235.812
在手机里	13219.97.1235.81211
在找什么	132.101.3212.354
在找什么	13219.101534.3212.354
在技术上	132.10125.124.21
在技术上	13219.101254.124.21
在改革中	132.5159.18.802
在改革中	13219.51590.18.802
在政治上	132.1219.445.21
在政治上	13219.12190.445480.21
在柜子里	132.12151.58.812
在柜子里	13219.121515.58.81211
在校学生	132.1266.64.371
在校学生	13219.126634.6458.371
在此一举	132.213.1.643
在此一举	13219.2135.1.643412
在此之前	132.213.454.4325
在此之前	13219.2135.454.432512
在此之后	132.213.454.331
在此之后	13219.2135.454.33180
在此别过	132.213.8053.1244
在此别过	13219.2135.805322.124454
在此期间	132.213.703.4281
在此期间	13219.2135.7036.4281
在水一方	132.253.1.60
在水一方	13219.2534.1.60
在玩手机	132.1111.97.1235
在玩手机	13219.111135.97.1235
在玩游戏	132.1111.446.5415
在玩游戏	13219.111135.446038.541534
在玩电脑	132.1111.815.3641
在玩电脑	13219.111135.815.364132
在生活上	132.371.449.21
在生活上	13219.371.4492.21
在生活中	132.371.449.802
在生活中	13219.371.4492.802
在看电视	132.978.815.6225
在看电视	13219.9782.815.622535
在短期内	132.941.703.2534
在短期内	13219.941801.7036.2534
在社会上	132.62.341.21
在社会上	13219.6219.341154.21
在程序中	132.92801.4754.802
在程序中	13219.928011.4754.802
在线客服	132.5511.469.365
在线客服	13219.551154.469080.365254
在线帮助	132.5511.735.2753
在线帮助	13219.551154.735225.2753
在组织上	132.552.55803.21
在组织上	13219.5527.558034.21
在经济上	132.55.44663.21
在经济上	13219.555411.446632.21
在编人员	132.5567.34.8028
在编人员	13219.556727.34.8028
在群众中	132.0138.34343.802
在群众中	13219.013802.343434.802
在职人员	132.728.34.8028
在职人员	13219.728034.34.8028
在职干部	132.728.112.6180
在职干部	13219.728034.112.618052
在职期间	132.728.703.4281
在职期间	13219.728034.7036.4281
在讲话中	132.4078.409.802
在讲话中	13219.4078.4092.802
在谈项目	132.406.12113.82
在谈项目	13219.406969.121138.82
在这之前	132.6.454.4325
在这之前	13219.66454.454.432512
在这之后	132.6.454.331
在这之后	13219.66454.454.33180
在这方面	132.6.60.13252
在这方面	13219.66454.60.132521
在这期间	132.6.703.4281
在这期间	13219.66454.7036.4281
在院子外	132.524.58.902
在院子外	13219.524615.58.9024
在院子里	132.524.58.812
在院子里	13219.524615.58.81211
地下害虫	195.124.4671.26
地下害虫	19525.124.467180.26
地下开采	195.124.78.3912
地下开采	19525.124.78.3912
地下水位	195.124.253.3261
地下水位	19525.124.2534.3261
地下水面	195.124.253.13252
地下水面	19525.124.2534.132521
地下资源	195.124.413538.44133
地下资源	19525.124.413538.441334
地下铁道	195.124.913.4338
地下铁道	19525.124.913114.433824
地主之谊	195.411.454.4046
地主之谊	19525.411.454.404627
地久天长	195.354.1134.3154
地久天长	19525.354.1134.3154
地利人和	195.922.34.9
地利人和	19525.9222.34.9280
地加瑞克	195.538.11201.12803
地加瑞克	19525.5380.112012.128035
地动山摇	195.11545.20.1039
地动山摇	19525.115453.20.103992
地区冲突	195.1345.41802.4613
地区冲突	19525.1345.41802.461344
地区差价	195.1345.4312.3234
地区差价	19525.1345.43121.323432
地区经济	195.1345.55.44663
地区经济	19525.1345.555411.446632
地地道道	195.195.4338.4338
地地道道	19525.19525.433824.433824
地塞米松	195.46781.68.1234
地塞米松	19525.467819.68.123454
地壳运动	195.7935.11544.11545
地壳运动	19525.7935.115444.115453
地大物博	195.134.313.121254
地大物博	19525.134.313533.121254
地委书记	195.9259.5524.405
地委书记	19525.9259.5524.40515
地崩山摧	195.2036.20.1020
地崩山摧	19525.203636.20.102031
地广人稀	195.47.34.9234
地广人稀	19525.47.34.923415
地心引力	195.65.572.53
地心引力	19525.65.572.53
地方党委	195.60.243.9259
地方党委	19525.60.2435.9259
地方品种	195.60.8080.928
地方品种	19525.60.808080.92802
地方国营	195.60.2.17458
地方国营	19525.60.251141.174580
地方工业	195.60.121.22
地方工业	19525.60.121.22
地方政府	195.60.1219.4732
地方政府	19525.60.12190.473214
地方特色	195.60.3119.3552
地方特色	19525.60.311914.355215
地方经济	195.60.55.44663
地方经济	19525.60.555411.446632
地方财政	195.60.2812.1219
地方财政	19525.60.28123.12190
地灵人杰	195.016.34.1269
地灵人杰	19525.0169.34.1269
地热异常	195.103.51513.242
地热异常	19525.103549.515132.2425
地热资源	195.103.413538.44133
地热资源	19525.103549.413538.441334
地球化学	195.1112.3235.64
地球化学	19525.111244.3235.6458
地球物理	195.1112.313.118
地球物理	19525.111244.313533.118121
地球磁场	195.1112.1443.1953
地球磁场	19525.111244.144356.19533
地理位置	195.118.3261.8412
地理位置	19525.118121.3261.841227
地理环境	195.118.1113.196
地理环境	19525.118121.111324.196185
地老天荒	195.1933.1134.1741
地老天荒	19525.19335.1134.174155
地膜覆盖	195.3617.743.4311
地膜覆盖	19525.361784.743330.431184
地覆天翻	195.743.1134.368
地覆天翻	19525.743330.1134.368834
地质力学	195.33122.53.64
地质力学	19525.331228.53.6458
地质勘探	195.33122.7055.10451
地质勘探	19525.331228.70553.104512
地质年代	195.33122.311.32154
地质年代	19525.331228.311212.32154
地质测量	195.33122.4428.81181
地质测量	19525.331228.442822.811811
地震预报	195.1613.54132.105
地震预报	19525.161314.541328.105254
地面部队	195.13252.6180.5234
地面部队	19525.132521.618052.5234
坂上走丸	193354.21.76.354
均衡生产	19354.33358.371.613
均衡生产	193541.333582.371.613
坎井之蛙	19353.78.454.2619
坎井之蛙	193534.78.454.261919
坎坷不平	19353.19180.1324.143
坎坷不平	193534.191802.1324.1432
坏人坏事	191.34.191.180
坏人坏事	191324.34.191324.180012
坏大事了	191.134.180.52
坏大事了	191324.134.180012.52
坐不改姓	343.1324.5159.593
坐不改姓	343419.1324.51590.59371
坐了一会	343.52.1.341
坐了一会	343419.52.1.341154
坐了很久	343.52.33.354
坐了很久	343419.52.3303.354
坐井观天	343.78.5425.1134
坐井观天	343419.78.542535.1134
坐享其成	343.4158.70.135
坐享其成	343419.4158.70.135534
坐享清福	343.4158.4471.621
坐享清福	343419.4158.447121.621803
坐以待旦	343.543.33191.811
坐以待旦	343419.5434.331914.811
坐以待毙	343.543.33191.153515
坐以待毙	343419.5434.331914.153515
坐冷板凳	343.4134.1233.5618
坐冷板凳	343419.413444.123354.561805
坐北朝南	343.211.128.1225
坐北朝南	343419.21135.128116.122542
坐卧不宁	343.722.1324.4612
坐卧不宁	343419.7224.1324.4612
坐卧不安	343.722.1324.465
坐卧不安	343419.7224.1324.4659
坐吃山空	343.8031.20.4612
坐吃山空	343419.80315.20.46121
坐在屋里	343.132.071.812
坐在屋里	343419.13219.071549.81211
坐在里面	343.132.812.13252
坐在里面	343419.13219.81211.132521
坐地分赃	343.195.345.2847
坐地分赃	343419.19525.3453.284719
坐失良机	343.3113.403.1235
坐失良机	343419.31134.403.1235
坐怀不乱	343.4913.1324.925
坐怀不乱	343419.491324.1324.925
坐拥书城	343.10351.5524.1913
坐拥书城	343419.103512.5524.191354
坐收渔利	343.5290.4495.922
坐收渔利	343419.5290.4495.9222
坐立不安	343.61.1324.465
坐立不安	343419.61.1324.4659
坐而论道	343.1325.40343.4338
坐而论道	343419.132522.403435.433824
坐观成败	343.5425.135.289
坐观成败	343419.542535.135534.2890
坐视不救	343.6225.1324.12413
坐视不救	343419.622535.1324.124130
坐视不理	343.6225.1324.118
坐视不理	343419.622535.1324.118121
坐视不管	343.6225.1324.374
坐视不管	343419.622535.1324.374621
坐言起行	343.40.765.3311
坐言起行	343419.40.76515.33112
坐过站了	343.1244.612.52
坐过站了	343419.124454.612180.52
坐近一些	343.334.1.21351
坐近一些	343419.33454.1.213511
坐近一点	343.334.1.218
坐近一点	343419.33454.1.218069
坐镇指挥	343.91122.1035.1045
坐镇指挥	343419.911224.103581.104577
坐骨神经	343.85.6283.55
坐骨神经	343419.85.6283.555411
坑坑洼洼	19413.19413.44191.44191
坑坑洼洼	194135.194135.441919.441919
坑蒙拐骗	19413.17451.10805.506
坑蒙拐骗	194135.174513.108053.506727
坚不可摧	225.1324.18.1020
坚不可摧	225419.1324.1802.102031
坚信不疑	225.3240.1324.359
坚信不疑	225419.3240.1324.359458
坚信不移	225.3240.1324.929
坚信不移	225419.3240.1324.929090
坚决反对	225.4151.3354.541
坚决反对	225419.415134.3354.54124
坚决执行	225.4151.10354.3311
坚决执行	225419.415134.10354.33112
坚决支持	225.4151.1254.10191
坚决支持	225419.415134.1254.101914
坚固耐用	225.25128.132524.351
坚固耐用	225419.251281.132524.35112
坚壁清野	225.0719.4471.8121
坚壁清野	225419.0719.447121.812114
坚如磐石	225.598.9335.14
坚如磐石	225419.5980.933554.14
坚守岗位	225.46124.202.3261
坚守岗位	225419.46124.202534.3261
坚定不移	225.467.1324.929
坚定不移	225419.4676.1324.929090
坚定意志	225.467.618.1965
坚定意志	225419.4676.618165.1965
坚强不屈	225.578.1324.070
坚强不屈	225419.578026.1324.0702
坚强意志	225.578.618.1965
坚强意志	225419.578026.618165.1965
坚忍不拔	225.5346.1324.1013
坚忍不拔	225419.53465.1324.101354
坚持下去	225.10191.124.1954
坚持下去	225419.101914.124.1954
坚持不了	225.10191.1324.52
坚持不了	225419.101914.1324.52
坚持不懈	225.10191.1324.4935
坚持不懈	225419.101914.1324.493551
坚持不渝	225.10191.1324.44341
坚持不渝	225419.101914.1324.443412
坚持到底	225.10191.154.473
坚持到底	225419.101914.154192.473514
坚持原则	225.10191.133.282
坚持原则	225419.101914.133814.2822
坚持真理	225.10191.12273.118
坚持真理	225419.101914.122734.118121
坚甲利兵	225.83.922.9834
坚甲利兵	225419.83.9222.9834
坚苦卓绝	225.171.21811.55355
坚苦卓绝	225419.171280.218112.553555
坚贞不屈	225.2128.1324.070
坚贞不屈	225419.2128.1324.0702
坚贞不渝	225.2128.1324.44341
坚贞不渝	225419.2128.1324.443412
坚韧不拔	225.11525.1324.1013
坚韧不拔	225419.115254.1324.101354
坛坛罐罐	19115.19115.9217.9217
坛坛罐罐	191154.191154.921781.921781
坦噶尼喀	19811.801785.0735.80469
坦噶尼喀	19811.801785.0735.804690
坦桑尼亚	19811.54545.0735.122
坦桑尼亚	19811.545452.0735.122
坦然自若	19811.9013.382.1713
坦然自若	19811.901349.382.171380
坦白从宽	19811.381.3434.4617
坦白从宽	19811.381.3434.461725
坦诚相待	19811.4013.1282.33191
坦诚相待	19811.401354.1282.331914
垂头丧气	31212.4413.124314.97
垂头丧气	312121.44134.124314.97
垂帘听政	31212.4625.8033.1219
垂帘听政	312121.4625.8033.12190
垂手可得	31212.97.18.338
垂手可得	312121.97.1802.338114
垂手而得	31212.97.1325.338
垂手而得	312121.97.132522.338114
垂暮之年	31212.178111.454.311
垂暮之年	312121.178111.454.311212
垂死挣扎	31212.1335.10350.105
垂死挣扎	312121.1335.103502.105
垂涎三尺	31212.44321.111.074
垂涎三尺	312121.443214.111.074
垂涎欲滴	31212.44321.943.4461
垂涎欲滴	312121.443214.943534.446110
垂露欲滴	31212.162.943.4461
垂露欲滴	312121.162990.943534.446110
垃圾处理	1961.19354.9024.118
垃圾处理	1961.19354.9024.118121
垄断组织	135349.6853.552.55803
垄断组织	135349.68533.5527.558034
垄断资本	135349.6853.413538.121
垄断资本	135349.68533.413538.121
埃尔克森	19549.3523.12803.121212
埃尔克森	195494.35234.128035.121212
埃德瓦多	19549.3312.79.909
埃德瓦多	195494.331285.79.9090
埋头工作	1981.4413.121.32312
埋头工作	198121.44134.121.323121
埋头苦干	1981.4413.171.112
埋头苦干	198121.44134.171280.112
城下之盟	1913.124.454.81368
城下之盟	191354.124.454.813684
城乡之间	1913.56.454.4281
城乡之间	191354.56.454.4281
城乡人民	1913.56.34.5151
城乡人民	191354.56.34.51515
城乡居民	1913.56.0712.5151
城乡居民	191354.56.071280.51515
城乡差别	1913.56.4312.8053
城乡差别	191354.56.43121.805322
城乡建设	1913.56.015.40355
城乡建设	191354.56.0154.403554
城乡经济	1913.56.55.44663
城乡经济	191354.56.555411.446632
城市中央	1913.4125.802.25134
城市中央	191354.4125.802.25134
城市人口	1913.4125.34.80
城市人口	191354.4125.34.80
城市学院	1913.4125.64.524
城市学院	191354.4125.6458.524615
城市工业	1913.4125.121.22
城市工业	191354.4125.121.22
城市建设	1913.4125.015.40355
城市建设	191354.4125.0154.403554
城市污染	1913.4125.44115.44351
城市污染	191354.4125.44115.443512
城市生活	1913.4125.371.449
城市生活	191354.4125.371.4492
城市绿化	1913.4125.550.3235
城市绿化	191354.4125.550124.3235
城市规划	1913.4125.11342.1534
城市规划	191354.4125.113425.153422
城镇人口	1913.91122.34.80
城镇人口	191354.911224.34.80
城镇居民	1913.91122.0712.5151
城镇居民	191354.911224.071280.51515
城门失火	1913.42.3113.69
城门失火	191354.42.31134.69
域名注册	1918.90.44411.35351
域名注册	191804.9080.44411.35351
培养人才	1961.4332.34.123
培养人才	196180.4332.34.123
培养教育	1961.4332.1935.41542
培养教育	196180.4332.193580.415421
培养目标	1961.4332.82.1211
培养目标	196180.4332.82.121124
培训中心	1961.4032.802.65
培训中心	196180.40322.802.65
培训教材	1961.4032.1935.12123
培训教材	196180.40322.193580.12123
基因信息	701.2513.3240.38265
基因信息	7019.251341.3240.38265
基因工程	701.2513.121.92801
基因工程	7019.251341.121.928011
基层单位	701.07115.4381.3261
基层单位	7019.071154.438112.3261
基层工作	701.07115.121.32312
基层工作	7019.071154.121.323121
基层干部	701.07115.112.6180
基层干部	7019.071154.112.618052
基层建设	701.07115.015.40355
基层建设	7019.071154.0154.403554
基层政权	701.07115.1219.1254
基层政权	7019.071154.12190.1254
基层组织	701.07115.552.55803
基层组织	7019.071154.5527.558034
基本任务	701.121.32319.905
基本任务	7019.121.32319.9053
基本内容	701.121.2534.4694
基本内容	7019.121.2534.4694
基本单位	701.121.4381.3261
基本单位	7019.121.438112.3261
基本原则	701.121.133.282
基本原则	7019.121.133814.2822
基本原理	701.121.133.118
基本原理	7019.121.133814.118121
基本国策	701.121.2.37125
基本国策	7019.121.251141.371254
基本完成	701.121.461.135
基本完成	7019.121.461135.135534
基本实现	701.121.464.1125
基本实现	7019.121.464414.112535
基本工资	701.121.121.413538
基本工资	7019.121.121.413538
基本建设	701.121.015.40355
基本建设	7019.121.0154.403554
基本思想	701.121.836.12826
基本思想	7019.121.8365.128265
基本情况	701.121.497.41803
基本情况	7019.121.497121.418035
基本方针	701.121.60.9112
基本方针	7019.121.60.9112
基本权利	701.121.1254.922
基本权利	7019.121.1254.9222
基本条件	701.121.901.3231
基本条件	7019.121.9012.3231
基本理论	701.121.118.40343
基本理论	7019.121.118121.403435
基本电荷	701.121.815.1732
基本电荷	7019.121.815.173212
基本矛盾	701.121.54.33128
基本矛盾	7019.121.54.331282
基本知识	701.121.9480.408
基本知识	7019.121.9480.408034
基本纲领	701.121.55253.344
基本纲领	7019.121.552534.344548
基本组织	701.121.552.55803
基本组织	7019.121.5527.558034
基本要求	701.121.7.1241
基本要求	7019.121.7459.124134
基本规律	701.121.11342.330
基本规律	7019.121.113425.3301
基本解决	701.121.3553.4151
基本解决	7019.121.355331.415134
基本路线	701.121.299.5511
基本路线	7019.121.299080.551154
基本问题	701.121.428.8176
基本问题	7019.121.4280.817618
基础代谢	701.1402.32154.4099
基础代谢	7019.1402.32154.409914
基础工业	701.1402.121.22
基础工业	7019.1402.121.22
基础建设	701.1402.015.40355
基础建设	7019.1402.0154.403554
基础教育	701.1402.1935.41542
基础教育	7019.1402.193580.415421
基础理论	701.1402.118.40343
基础理论	7019.1402.118121.403435
基础知识	701.1402.9480.408
基础知识	7019.1402.9480.408034
基础研究	701.1402.147.4635
基础研究	7019.1402.1478.4635
基础科学	701.1402.924.64
基础科学	7019.1402.924412.6458
基础训练	701.1402.4032.5515
基础训练	7019.1402.40322.551554
基础设施	701.1402.40355.6031
基础设施	7019.1402.403554.603155
基里巴斯	701.812.5215.7033
基里巴斯	7019.81211.5215.7033
基金组织	701.91.552.55803
基金组织	7019.91.5527.558034
基金经理	701.91.55.118
基金经理	7019.91.555411.118121
堂堂正正	2419.2419.121.121
堂皇富丽	2419.38111.4618.125425
堂皇富丽	2419.38111.461803.125424
堂而皇之	2419.1325.38111.454
堂而皇之	2419.132522.38111.454
堆积如山	1932.92803.598.20
堆积如山	193241.928034.5980.20
堕落腐化	52132.1744.47321.3235
堕落腐化	521329.174490.473214.3235
堕落腐败	52132.1744.47321.289
堕落腐败	521329.174490.473214.2890
堤溃蚁穴	19817.44802.26434.46
堤溃蚁穴	198176.448028.26434.46
堪称一绝	1970.92352.1.55355
堪称一绝	19705.923524.1.553555
堪称典范	1970.92352.2517.17445
堪称典范	19705.923524.251714.174455
堪称楷模	1970.92352.121531.1217
堪称楷模	19705.923524.121531.121784
塑性变形	43523.49.665.783
塑性变形	435239.49371.6654.78333
塑性材料	43523.49.12123.6844
塑性材料	435239.49371.12123.684412
塑料制品	43523.6844.3112.8080
塑料制品	435239.684412.311252.808080
塑料薄膜	43523.6844.17441.3617
塑料薄膜	435239.684412.174414.361784
塔吉克族	1917.1980.12803.60319
塔吉克族	191794.1980.128035.603194
塔塔尔族	1917.1917.3523.60319
塔塔尔族	191794.191794.35234.603194
塞上江南	46781.21.44121.1225
塞上江南	467819.21.44121.122542
塞内加尔	46781.2534.538.3523
塞内加尔	467819.2534.5380.35234
塞北江南	46781.211.44121.1225
塞北江南	467819.21135.44121.122542
塞尔维亚	46781.3523.5532.122
塞尔维亚	467819.35234.553241.122
塞拉利昂	46781.1061.922.81355
塞拉利昂	467819.1061.9222.813552
塞浦路斯	46781.44125.299.7033
塞浦路斯	467819.441254.299080.7033
塞翁失马	46781.34540.3113.50
塞翁失马	467819.345404.31134.50
填平补齐	19122.143.632.6632
填平补齐	191224.1432.6324.6632
填海造地	19122.4431.3198.195
填海造地	191224.443106.319804.19525
填空补缺	19122.4612.632.9251
填空补缺	191224.46121.6324.925134
填街塞巷	19122.3319.46781.18345
填街塞巷	191224.331912.467819.183455
填补空白	19122.632.4612.381
填补空白	191224.6324.46121.381
填表日期	19122.713.81.703
填表日期	191224.713534.81.7036
墙头马上	1912.4413.50.21
墙头马上	191241.44134.50.21
墙里墙外	1912.812.1912.902
墙里墙外	191241.81211.191241.9024
增产增值	1943.613.1943.32122
增产增值	194321.613.194321.321227
增产增收	1943.613.1943.5290
增产增收	194321.613.194321.5290
增产节约	1943.613.1752.5535
增产节约	194321.613.1752.55354
增加收入	1943.538.5290.34
增加收入	194321.5380.5290.34
增强党性	1943.578.243.49
增强党性	194321.578026.2435.49371
增强团结	1943.578.25123.5519
增强团结	194321.578026.251231.551980
增强塑料	1943.578.43523.6844
增强塑料	194321.578026.435239.684412
增强活力	1943.578.449.53
增强活力	194321.578026.4492.53
增收节支	1943.5290.1752.1254
增收节支	194321.5290.1752.1254
增砖添瓦	1943.141.44113.79
增砖添瓦	194321.141154.441134.79
增进友谊	1943.784.1354.4046
增进友谊	194321.78454.1354.404627
增量备份	1943.81181.9083.32345
增量备份	194321.811811.9083.323453
增长幅度	1943.3154.2518.4718
增长幅度	194321.3154.251803.471854
增长速度	1943.3154.180234.4718
增长速度	194321.3154.180234.471854
墨守成规	8619.46124.135.11342
墨守成规	8619.46124.135534.113425
墨索里尼	8619.1245.812.0735
墨索里尼	8619.124554.81211.0735
墨迹未干	8619.664.112.112
墨迹未干	8619.66454.112.112
壁垒分明	0719.545459.345.8136
壁垒分明	0719.545459.3453.8136
壁垒森严	0719.545459.121212.1223
壁立千仞	0719.61.312.32534
壅塞不通	415639.46781.1324.542
壅塞不通	415639.467819.1324.542514
士农工商	19.453.121.6134
士农工商	19.453534.121.613480
士别三日	19.8053.111.81
士别三日	19.805322.111.81
壮士断腕	41219.19.6853.36469
壮士断腕	41219.19.68533.364695
壮心不已	41219.65.1324.515
壮志凌云	41219.1965.4119.1154
壮志凌云	41219.1965.411930.1154
壮志未酬	41219.1965.112.7543
壮志未酬	41219.1965.112.754342
壮志豪情	41219.1965.4113.497
壮志豪情	41219.1965.4113.497121
壮志雄心	41219.1965.13543.65
壮志雄心	41219.1965.135431.65
壮烈牺牲	41219.13226.317.3137
壮烈牺牲	41219.132269.3174.31371
声东击西	1952.152.1120.74
声东击西	195213.15234.1120.74
声势浩大	1952.103543.443190.134
声势浩大	195213.103543.443190.134
声势赫奕	1952.103543.193234.6613
声势赫奕	195213.103543.193234.66134
声名大振	1952.90.134.10131
声名大振	195213.9080.134.101314
声名狼藉	1952.90.3840.1771
声名狼藉	195213.9080.38403.177111
声名远播	1952.90.11354.1036
声名远播	195213.9080.113544.103683
声名鹊起	1952.90.18819.765
声名鹊起	195213.9080.188196.76515
声嘶力竭	1952.8070.53.618135
声嘶力竭	195213.807033.53.618135
声如洪钟	1952.598.4418.918
声如洪钟	195213.5980.441834.91802
声威大震	1952.1315.134.1613
声威大震	195213.131594.134.161314
声应气求	1952.476.97.1241
声应气求	195213.4764.97.124134
声情并茂	1952.497.4378.171354
声情并茂	195213.497121.4378.171354
声振寰宇	1952.10131.4684.46112
声振寰宇	195213.101314.468414.46112
声气相投	1952.97.1282.10355
声气相投	195213.97.1282.103554
声气相通	1952.97.1282.542
声气相通	195213.97.1282.542514
声泪俱下	1952.4482.3227.124
声泪俱下	195213.4482.322734.124
声罪致讨	1952.842.1541.40124
声罪致讨	195213.8423.154190.40124
声色俱厉	1952.3552.3227.13153
声色俱厉	195213.355215.322734.13153
声色犬马	1952.3552.1344.50
声色犬马	195213.355215.1344.50
声若洪钟	1952.1713.4418.918
声若洪钟	195213.171380.441834.91802
声誉鹊起	1952.64344.18819.765
声誉鹊起	195213.643440.188196.76515
声音洪亮	1952.6181.4418.4135
声音洪亮	195213.6181.441834.4135
声音笑貌	1952.6181.379.393
声音笑貌	195213.6181.3794.393815
壶中日月	792.802.81.36
壶中日月	7922.802.81.36
处之泰然	9024.454.732.9013
处之泰然	9024.454.732414.901349
处事方式	9024.180.60.11215
处事方式	9024.180012.60.112154
处变不惊	9024.665.1324.494
处变不惊	9024.6654.1324.494124
处女情结	9024.59.497.5519
处女情结	9024.59.497121.551980
处心积虑	9024.65.92803.876
处心积虑	9024.65.928034.8765
处理不当	9024.118.1324.240
处理不当	9024.118121.1324.2401
处理意见	9024.118.618.2535
处理意见	9024.118121.618165.2535
处理方法	9024.118.60.44
处理方法	9024.118121.60.441954
处理系统	9024.118.356.5541
处理系统	9024.118121.356234.554155
处理问题	9024.118.428.8176
处理问题	9024.118121.4280.817618
处男情结	9024.835.497.5519
处男情结	9024.8353.497121.551980
备受欢迎	9083.394.5435.35524
备受欢迎	9083.394554.543534.355244
备尝艰辛	9083.241.540.6112
备尝艰辛	9083.241154.5403.6112
备而不用	9083.1325.1324.351
备而不用	9083.132522.1324.35112
复习考试	3181.541.1931.401
复习考试	318190.541.19315.401124
复习资料	3181.541.413538.6844
复习资料	318190.541.413538.684412
复兴之路	3181.6434.454.299
复兴之路	318190.6434.454.299080
复制过了	3181.3112.1244.52
复制过了	318190.311252.124454.52
复合材料	3181.94.12123.6844
复合材料	318190.94.12123.684412
复员军人	3181.8028.45.34
复员军人	318190.8028.4577.34
复旦大学	3181.811.134.64
复旦大学	318190.811.134.6458
复杂极了	3181.3512.12354.52
复杂极了	318190.3512.12354.52
复种指数	3181.928.1035.685
复种指数	318190.92802.103581.685990
复种面积	3181.928.13252.92803
复种面积	318190.92802.132521.928034
夏天的热	1382.1134.3.103
夏天的热	138290.1134.381354.103549
夏收夏种	1382.5290.1382.928
夏收夏种	138290.5290.138290.92802
夏日可畏	1382.81.18.831
夏日可畏	138290.81.1802.831534
夏日炎炎	1382.81.696.696
夏日炎炎	138290.81.6969.6969
夏炉冬扇	1382.6967.904.670
夏炉冬扇	138290.6967.9044.6704
夏热握火	1382.103.1007.69
夏热握火	138290.103549.100719.69
夏熟作物	1382.41583.32312.313
夏熟作物	138290.415839.323121.313533
夏虫朝菌	1382.26.128.1725
夏虫朝菌	138290.26.128116.172591
夏雨雨人	1382.16.16.34
夏雨雨人	138290.16.16.34
夕阳西下	90.528.74.124
夕阳西下	90.5281.74.124
夕阳西斜	90.528.74.341122
夕阳西斜	90.5281.74.341122
外事活动	902.180.449.11545
外事活动	9024.180012.4492.115453
外交人员	902.6634.34.8028
外交人员	9024.6634.34.8028
外交使团	902.6634.3218.25123
外交使团	9024.6634.321804.251231
外交使节	902.6634.3218.1752
外交使节	9024.6634.321804.1752
外交关系	902.6634.4334.356
外交关系	9024.6634.4334.356234
外交大臣	902.6634.134.72
外交大臣	9024.6634.134.72
外交惯例	902.6634.4906.32132
外交惯例	9024.6634.490628.321322
外交活动	902.6634.449.11545
外交活动	9024.6634.4492.115453
外交途径	902.6634.341124.33541
外交途径	9024.6634.341124.335411
外交部长	902.6634.6180.3154
外交部长	9024.6634.618052.3154
外公切线	902.3454.1553.5511
外公切线	9024.3454.1553.551154
外公外婆	902.3454.902.44532
外公外婆	9024.3454.9024.445329
外兴安岭	902.6434.465.203
外兴安岭	9024.6434.4659.203444
外冷内热	902.4134.2534.103
外冷内热	9024.413444.2534.103549
外刚内柔	902.25342.2534.5412
外刚内柔	9024.253422.2534.5412
外力作用	902.53.32312.351
外力作用	9024.53.323121.35112
外发加工	902.535.538.121
外发加工	9024.53544.5380.121
外商投资	902.6134.10355.413538
外商投资	9024.613480.103554.413538
外商独资	902.6134.3826.413538
外商独资	9024.613480.3826.413538
外国专家	902.2.1154.46
外国专家	9024.251141.1154.4613
外国商人	902.2.6134.34
外国商人	9024.251141.613480.34
外国媒体	902.2.59181.32121
外国媒体	9024.251141.591812.32121
外国投资	902.2.10355.413538
外国投资	9024.251141.103554.413538
外国报刊	902.2.105.1122
外国报刊	9024.251141.105254.11222
外国海关	902.2.4431.4334
外国海关	9024.251141.443106.4334
外国游客	902.2.446.469
外国游客	9024.251141.446038.469080
外国血统	902.2.384.5541
外国血统	9024.251141.384.554155
外国记者	902.2.405.19381
外国记者	9024.251141.40515.19381
外圆内方	902.2580.2534.60
外圆内方	9024.258021.2534.60
外币单位	902.325.4381.3261
外币单位	9024.325.438112.3261
外引内联	902.572.2534.724
外引内联	9024.572.2534.724334
外强中干	902.578.802.112
外强中干	9024.578026.802.112
外方内圆	902.60.2534.2580
外方内圆	9024.60.2534.258021
外星文明	902.8137.66.8136
外星文明	9024.81371.66.8136
外星生物	902.8137.371.313
外星生物	9024.81371.371.313533
外来干涉	902.168.112.44212
外来干涉	9024.168.112.442123
外柔中刚	902.5412.802.25342
外柔中刚	9024.5412.802.253422
外柔内刚	902.5412.2534.25342
外柔内刚	9024.5412.2534.253422
外汇储备	902.4415.32401.9083
外汇储备	9024.4415.324011.9083
外汇市场	902.4415.4125.1953
外汇市场	9024.4415.4125.19533
外汇行市	902.4415.3311.4125
外汇行市	9024.4415.33112.4125
外汇资金	902.4415.413538.91
外汇资金	9024.4415.413538.91
外汇逆差	902.4415.4352.4312
外汇逆差	9024.4415.435234.43121
外港海关	902.44183.4431.4334
外港海关	9024.441835.443106.4334
外焦里嫩	902.324719.812.5918
外焦里嫩	9024.324719.81211.591800
外生变量	902.371.665.81181
外生变量	9024.371.6654.811811
外生殖器	902.371.13122.80801
外生殖器	9024.371.131227.808010
外界人士	902.833.34.19
外界人士	9024.833432.34.19
外籍人士	902.3771.34.19
外籍人士	9024.377111.34.19
外籍华人	902.3771.32351.34
外籍华人	9024.377111.323512.34
外籍球员	902.3771.1112.8028
外籍球员	9024.377111.111244.8028
外经贸部	902.55.35453.6180
外经贸部	9024.555411.354538.618052
外置光驱	902.8412.24.5013
外置光驱	9024.841227.2435.501345
外貌特征	902.393.3119.33121
外貌特征	9024.393815.311914.33121
外贸体制	902.35453.32121.3112
